reg_no,name,grade,score,entries,racing_now,today_race,starts,dq,form_emoji,form_avg,retired
012946,亀井 雅斗,A3,71.28,大垣@10/06-10/08;青森@10/19-10/21,弥彦,弥彦Ｆ２@09/24/6R;弥彦Ｆ２@09/25/3R;弥彦Ｆ２@09/26/1R,7,0,,,
012953,矢内 良和,A2,81.47,いわき平@09/27-09/29;静岡@10/15-10/17;川崎@10/24-10/26,,,21,0,🥺,5.6,
012955,太田 真一,A2,81.21,高知@10/17-10/19;川崎@10/24-10/26,熊本,熊本Ｆ２@09/24/6R;熊本Ｆ２@09/25/2R;熊本Ｆ２@09/26/2R,23,0,🥺,4.6,
012956,鈴木 孝征,A2,80.11,大垣@10/22-10/24,,,17,0,🥺,5.2,
012957,宮澤 晃,A2,81.42,青森@09/30-10/02;静岡@10/15-10/17,,,21,0,🥺,4.8,
012960,水書 義弘,A2,85.00,青森@09/30-10/02;静岡@10/15-10/17,,,24,0,🥺,4.6,
012963,荻野 哲,A2,85.50,静岡@10/07-10/09;川崎@10/24-10/26,,,24,0,,4.2,
012965,成田 健児,A1,,,,,0,0,,,
012966,石川 英昭,A3,71.33,青森@10/14-10/16;大宮@10/22-10/24,,,12,0,,,
012970,山内 大作,A3,64.32,大垣@10/06-10/08;取手@10/19-10/21;名古屋@10/30-11/01,,,34,0,🥺,6.4,
012971,小川 将人,A2,82.34,岐阜@10/10-10/12;宇都宮@10/30-11/01,,,26,0,,3.4,
012972,金子 貴志,A1,88.38,豊橋@10/15-10/17;別府@10/28-10/30,,,21,0,,3.6,
012976,中井 修,A3,70.88,久留米@10/01-10/03;取手@10/19-10/21,弥彦,弥彦Ｆ２@09/24/6R;弥彦Ｆ２@09/25/5R;弥彦Ｆ２@09/26/4R,9,0,,,
012981,片山 弘城,A1,89.85,武雄@09/27-09/29;豊橋@10/15-10/17;大宮@10/22-10/24,,,14,0,🚀,2.8,
012982,上原 直樹,A3,67.66,高知@10/07-10/09;四日市@10/16-10/18;防府@10/23-10/25,,,18,0,🥺,5.6,
012986,近藤 直幹,A3,65.29,平塚@10/03-10/05;青森@10/14-10/16;松戸@10/30-11/01,,,24,0,🥺,5.0,
012989,森岡 正臣,A1,84.16,玉野@09/27-09/29;大宮@10/06-10/08;佐世保@10/18-10/20,,,18,0,,3.4,
012992,吉良 勝信,A2,78.55,奈良@10/05-10/07;熊本@10/12-10/14,,,20,0,🥺,6.0,
012997,後田 康成,A3,69.04,前橋@09/30-10/02;四日市@10/16-10/18;名古屋@10/24-10/26,,,21,0,,3.8,
013005,小笠原 昭太,A1,86.23,武雄@10/03-10/05;いわき平@10/12-10/14;京王閣@10/26-10/28,,,18,0,,4.4,
013006,佐々木 健司,A2,81.45,平塚@10/08-10/10;川崎@10/24-10/26,,,22,0,🥺,4.8,
013013,武田 靖夫,A3,74.00,取手@10/19-10/21;和歌山@10/26-10/28,弥彦,弥彦Ｆ２@09/24/7R;弥彦Ｆ２@09/25/7R;弥彦Ｆ２@09/26/7R,8,0,,4.2,
013014,江連 和洋,A1,86.00,広島@09/28-09/30;前橋@10/06-10/08;高知@10/17-10/19,,,14,0,,3.8,
013023,吉田 英二,A3,68.93,高知@10/07-10/09;青森@10/19-10/21;宇都宮@10/30-11/01,,,29,0,🥺,4.6,
013027,戸ノ下 太郎,A3,68.52,大垣@10/06-10/08;青森@10/14-10/16,川崎,川崎Ｆ２@09/24/1R;川崎Ｆ２@09/25/2R;川崎Ｆ２@09/26/2R,21,0,🥺,4.8,
013029,藤田 晃英,A3,68.37,奈良@09/30-10/02;高知@10/07-10/09,,,27,0,🚀,3.0,
013030,梶山 大輔,A3,67.55,前橋@10/21-10/23,,,9,0,🥺,5.4,
013036,深澤 伸介,A2,79.66,前橋@10/06-10/08;川崎@10/24-10/26,青森,青森Ｆ２@09/26/5R,18,0,🥺,4.8,
013037,町田 勝志,A3,66.60,青森@10/14-10/16;防府@10/23-10/25,,,20,0,🥺,5.6,
013039,松山 正和,A2,78.00,いわき平@10/12-10/14;川崎@10/24-10/26,,,22,0,🥺,5.2,
013040,服部 竜二,A3,62.75,大宮@10/22-10/24;名古屋@10/30-11/01,,,4,0,,,
013041,三浦 稔希,A1,83.66,久留米@10/01-10/03;平塚@10/08-10/10;広島@10/18-10/20,,,18,0,,4.4,
013042,渡邊 健,A1,87.12,熊本@10/12-10/14;小田原@10/20-10/22;大垣@10/27-10/29,,,21,0,🥺,4.8,
013047,田中 俊充,A1,86.61,川崎@10/01-10/03;豊橋@10/15-10/17;大垣@10/27-10/29,,,18,0,,3.8,
013049,南 大輔,A3,72.95,静岡@10/07-10/09;いわき平@10/21-10/23,,,21,0,,3.4,
013054,石丸 寛之,A1,89.72,高知@10/17-10/19;名古屋@10/24-10/26,別府,別府Ｆ２@09/24/8R;別府Ｆ２@09/25/9R;別府Ｆ２@09/26/7R,18,0,,3.2,
013056,山本 貴章,A2,80.61,松山@10/04-10/06;四日市@10/16-10/18;名古屋@10/24-10/26,,,21,0,🥺,5.0,
013058,富 弥昭,A1,90.66,佐世保@10/18-10/20;京王閣@10/26-10/28,,,15,0,🚀,2.8,
013061,小磯 知也,A3,69.79,前橋@09/30-10/02;松戸@10/30-11/01,,,24,0,,3.6,
013062,藤原 義浩,A3,65.76,高知@10/07-10/09;四日市@10/16-10/18,,,17,0,🥺,5.8,
013063,赤松 秀展,A3,72.66,高知@10/07-10/09;四日市@10/16-10/18,,,9,0,,,
013068,城戸崎 隆史,A2,82.41,武雄@10/17-10/19;小松島@10/24-10/26,,,24,0,🥺,5.2,
013069,白川 有司,A2,81.87,小松島@10/03-10/05;奈良@10/14-10/16;弥彦@10/30-11/01,,,24,0,🥺,5.2,
013075,平 総一,A2,83.62,小松島@10/03-10/05;弥彦@10/30-11/01,熊本,熊本Ｆ２@09/24/4R;熊本Ｆ２@09/25/7R;熊本Ｆ２@09/26/6R,21,0,🥺,4.6,
013080,阿部 利光,A3,71.18,前橋@09/30-10/02;武雄@10/27-10/29,,,27,0,,3.4,
013082,小泉 俊也,A3,71.55,前橋@09/30-10/02;川崎@10/09-10/11,,,20,0,,3.4,
013086,坂本 毅,A2,79.30,松阪@10/21-10/23;宇都宮@10/30-11/01,,,23,0,,4.4,
013099,大橋 直人,A2,79.71,川崎@10/09-10/11;青森@10/24-10/26,,,21,0,🥺,6.6,
013105,松本 一成,A3,68.51,川崎@10/09-10/11;取手@10/19-10/21,弥彦,弥彦Ｆ２@09/24/3R;弥彦Ｆ２@09/25/3R;弥彦Ｆ２@09/26/2R,27,0,🥺,4.8,
013106,赤井 学,A2,82.46,前橋@10/06-10/08;静岡@10/15-10/17,,,15,1,,,
013109,志村 正洋,A3,69.40,大垣@10/06-10/08;前橋@10/13-10/15,,,20,1,🥺,4.8,
013110,法月 成祐,A1,84.95,松山@10/04-10/06;青森@10/24-10/26,,,24,0,🥺,4.6,
013112,佐藤 明,A2,82.15,大垣@10/06-10/08;静岡@10/15-10/17,青森,青森Ｆ２@09/26/4R,19,0,,4.2,
013117,鳥越 靖弘,A1,85.04,奈良@10/05-10/07;富山@10/17-10/19,,,23,0,,4.4,
013119,松尾 淳,A2,78.88,岐阜@10/10-10/12;富山@10/17-10/19,,,18,0,🥺,5.2,
013120,宮越 大,A1,,,,,0,0,,,
013121,山田 晃久,A1,84.95,防府@10/04-10/06;高知@10/17-10/19,,,21,0,🚀,3.0,
013127,北浦 弘幹,A2,76.40,奈良@10/09-10/11;四日市@10/16-10/18,,,15,0,🥺,6.6,
013128,梶原 秀庸,A3,69.84,岐阜@10/10-10/12;大宮@10/22-10/24;宇都宮@10/30-11/01,奈良,奈良Ｆ２@09/24/1R,13,0,,3.6,
013129,原田 隆,A2,,,,,15,0,,,
013131,藤野 一良,A3,76.76,武雄@10/09-10/11;和歌山@10/26-10/28,弥彦,弥彦Ｆ２@09/24/2R;弥彦Ｆ２@09/25/5R;弥彦Ｆ２@09/26/7R,21,0,,3.8,
013142,黒田 大介,A2,80.21,大宮@10/01-10/03;奈良@10/09-10/11;武雄@10/27-10/29,,,23,0,🥺,4.8,
013143,鳥生 知八,A2,79.00,別府@10/14-10/16;京王閣@10/26-10/28,岸和,岸和Ｆ１@09/26/1R,3,0,🥺,4.8,
013145,瓦田 勝也,A3,71.41,前橋@09/30-10/02;高知@10/07-10/09;川崎@10/20-10/22,弥彦,弥彦Ｆ２@09/24/4R;弥彦Ｆ２@09/25/5R;弥彦Ｆ２@09/26/6R,24,0,,4.4,
013146,八谷 誠賢,A1,90.28,小倉@10/11-10/13;佐世保@10/18-10/20,熊本,熊本Ｆ２@09/24/4R;熊本Ｆ２@09/25/5R;熊本Ｆ２@09/26/6R,18,0,🥺,5.8,
013147,米嶋 賢二,A2,78.91,佐世保@09/30-10/02;川崎@10/20-10/22,,,23,0,🥺,5.2,
013155,四元 慎也,A2,83.95,久留米@10/01-10/03;富山@10/10-10/12;小田原@10/26-10/28,,,21,0,🚀,3.0,
013161,齋藤 和也,A3,68.50,前橋@10/13-10/15;武雄@10/27-10/29,弥彦,弥彦Ｆ２@09/24/3R,28,0,🥺,4.6,
013171,岩橋 則明,A2,80.25,平塚@09/28-09/30;前橋@10/06-10/08;取手@10/19-10/21,,,12,0,🥺,5.2,
013172,金子 周一郎,A2,80.05,いわき平@09/27-09/29;静岡@10/15-10/17;小松島@10/24-10/26,,,19,1,,4.4,
013175,峠 祐介,A2,76.95,青森@09/30-10/02;静岡@10/07-10/09,,,22,0,🥺,6.0,
013176,早川 成矢,A3,72.42,大宮@10/12-10/14;松戸@10/30-11/01,,,21,0,,3.2,
013179,飯島 淳,A2,80.04,小松島@10/03-10/05;富山@10/10-10/12;大宮@10/22-10/24,,,21,0,🥺,5.6,
013183,坂木田 雄介,A2,81.48,静岡@10/07-10/09;富山@10/17-10/19;京王閣@10/26-10/28,,,29,0,🥺,6.2,
013184,相樂 修,A3,68.10,平塚@09/28-09/30;大宮@10/12-10/14;川崎@10/20-10/22,,,10,0,🥺,4.8,
013186,永山 英司,A3,,,,,3,0,,,
013188,山田 幸司,A1,88.76,前橋@10/06-10/08;川崎@10/24-10/26,青森,青森Ｆ２@09/26/2R,13,0,,,
013192,平田 徹,A2,81.38,武雄@10/03-10/05;いわき平@10/12-10/14,,,21,0,🥺,4.6,
013196,竹田 和幸,A1,83.14,大垣@10/06-10/08;小田原@10/26-10/28,岸和,岸和Ｆ１@09/26/3R,21,0,,3.4,
013197,鈴木 幸紀,A1,84.71,小倉@10/11-10/13;四日市@10/21-10/23;青森@10/29-10/31,,,21,0,,4.0,
013199,北野 武史,A1,94.04,奈良@10/09-10/11;久留米@10/27-10/29,,,21,0,,3.2,
013201,北川 紋部,A2,78.66,久留米@10/01-10/03;大垣@10/27-10/29,,,21,0,🥺,5.0,
013206,岡崎 和久,A3,73.83,久留米@10/01-10/03;名古屋@10/24-10/26,奈良,奈良Ｆ２@09/24/4R;奈良Ｆ２@09/25/4R;奈良Ｆ２@09/26/3R,18,1,,3.8,
013207,葉狩 伸泰,A2,77.22,大垣@10/22-10/24;弥彦@10/30-11/01,,,9,0,🥺,6.6,
013209,奥谷 広巳,A2,85.46,熊本@10/12-10/14;松阪@10/21-10/23,,,15,0,,4.4,
013210,川本 恵二,A3,71.45,富山@10/17-10/19;宇都宮@10/30-11/01,,,24,0,,3.4,
013212,岡田 浩太,A3,67.10,松戸@10/03-10/05;名古屋@10/24-10/26,別府,別府Ｆ２@09/24/3R,10,0,🥺,6.0,
013214,水本 博行,A3,75.45,青森@10/14-10/16;防府@10/23-10/25;松戸@10/30-11/01,奈良,奈良Ｆ２@09/24/4R;奈良Ｆ２@09/25/7R;奈良Ｆ２@09/26/5R,20,0,🚀,2.6,
013216,古城 英之,A3,70.50,平塚@10/03-10/05;青森@10/19-10/21;久留米@10/27-10/29,,,10,0,,,
013217,佐々木 英之,A3,68.00,高知@10/07-10/09;防府@10/23-10/25,,,11,1,,4.2,
013219,宮本 佳樹,A2,77.77,奈良@10/14-10/16;久留米@10/27-10/29,岸和,岸和Ｆ１@09/26/2R,18,0,🥺,6.2,
013232,柳 充,A3,70.25,奈良@09/30-10/02;青森@10/19-10/21;松戸@10/30-11/01,,,16,1,,4.2,
013233,小松 剛之,A2,82.33,いわき平@10/04-10/06;奈良@10/14-10/16;小松島@10/24-10/26,青森,青森Ｆ２@09/26/1R,18,0,🥺,5.2,
013235,榊枝 輝文,A3,71.70,前橋@09/30-10/02;松戸@10/30-11/01,,,27,0,,3.8,
013242,尾崎 剛,A1,93.00,平塚@10/08-10/10;四日市@10/21-10/23,,,18,0,,3.2,
013244,小林 高志,A3,67.45,大垣@10/06-10/08;取手@10/19-10/21;松戸@10/30-11/01,弥彦,弥彦Ｆ２@09/24/6R;弥彦Ｆ２@09/25/2R;弥彦Ｆ２@09/26/2R,24,0,,4.2,
013246,山崎 充央,A2,83.86,川崎@10/09-10/11;富山@10/17-10/19;武雄@10/27-10/29,,,15,0,,3.4,
013253,柴田 功一郎,A2,81.68,前橋@10/06-10/08;四日市@10/21-10/23,,,19,0,🥺,4.8,
013255,安坂 洋一,A3,71.03,いわき平@10/04-10/06;大宮@10/12-10/14;防府@10/23-10/25,,,27,0,,3.6,
013259,望月 紀男,A2,87.42,武雄@10/03-10/05;大宮@10/22-10/24,,,21,0,,3.4,
013261,柴田 昌樹,A3,69.59,静岡@10/07-10/09;和歌山@10/26-10/28,,,27,0,🥺,5.0,
013263,田中 雅史,A2,82.58,四日市@10/16-10/18;大垣@10/27-10/29,,,21,0,🥺,5.4,
013264,山中 貴雄,A3,71.33,奈良@09/30-10/02;四日市@10/16-10/18,,,27,0,,4.0,
013266,伊藤 嘉浩,A3,68.17,大宮@10/22-10/24;宇都宮@10/30-11/01,奈良,奈良Ｆ２@09/24/2R;奈良Ｆ２@09/25/2R,23,0,,4.4,
013267,鷲見 逸喜,A1,89.33,熊本@10/12-10/14;宇都宮@10/30-11/01,,,24,0,🚀,2.2,
013270,中川 貴史,A1,81.52,四日市@10/07-10/09;別府@10/14-10/16;大垣@10/22-10/24,,,18,0,🥺,5.6,
013271,鮒田 博文,A2,83.50,別府@10/14-10/16;四日市@10/21-10/23,,,24,0,,4.2,
013272,古田 義明,A3,67.47,奈良@10/09-10/11;いわき平@10/21-10/23,,,23,0,,4.2,
013273,西 徹,A2,84.00,川崎@10/01-10/03;取手@10/19-10/21;大垣@10/27-10/29,,,21,0,🥺,4.6,
013275,渡辺 航平,A1,85.52,大宮@10/06-10/08;富山@10/17-10/19;京王閣@10/26-10/28,,,21,0,,4.4,
013283,小林 卓人,A1,88.08,熊本@10/12-10/14;奈良@10/23-10/25;西武園@10/30-11/01,,,24,0,,4.0,
013285,吉川 悟,A2,82.66,大垣@10/06-10/08;富山@10/17-10/19;小松島@10/24-10/26,岸和,岸和Ｆ１@09/26/1R,15,0,,3.6,
013294,木村 勉,A2,81.43,広島@09/28-09/30;奈良@10/05-10/07;玉野@10/13-10/15,,,16,0,🥺,5.0,
013296,林 明宏,A1,86.75,武雄@10/17-10/19;名古屋@10/24-10/26,岸和,岸和Ｆ１@09/26/4R,12,0,🚀,2.2,
013298,井手 健,A2,79.38,武雄@09/27-09/29;富山@10/10-10/12;佐世保@10/18-10/20;大垣@10/27-10/29,,,18,0,,4.2,
013303,須々田 大昇,A3,69.73,大宮@10/12-10/14;和歌山@10/26-10/28,奈良,奈良Ｆ２@09/24/7R;奈良Ｆ２@09/25/3R;奈良Ｆ２@09/26/3R,15,0,🥺,4.6,
013307,浦川 尊明,A1,91.21,川崎@10/20-10/22;武雄@10/27-10/29,青森,青森Ｆ２@09/26/7R,19,1,,3.2,
013308,木村 貴宏,A1,89.08,取手@10/19-10/21;武雄@10/27-10/29,青森,青森Ｆ２@09/26/3R,12,0,,4.0,
013311,根本 雄紀,A1,86.70,川崎@10/01-10/03;富山@10/17-10/19,,,21,0,,3.4,
013314,鈴木 宏章,A3,71.04,いわき平@10/04-10/06;松戸@10/30-11/01,,,22,0,🥺,5.0,
013320,村上 順規,A3,65.94,川崎@10/09-10/11;富山@10/17-10/19,,,17,0,🥺,5.0,
013324,市川 博章,A3,69.16,平塚@09/28-09/30;川崎@10/09-10/11;防府@10/23-10/25,,,18,1,,3.8,
013327,高橋 健太,A3,69.20,松戸@10/30-11/01,,,5,1,,,
013330,舘 泰守,A1,88.90,川崎@10/01-10/03;名古屋@10/24-10/26,,,11,1,,,
013331,橋本 大祐,A3,71.13,大垣@10/06-10/08;いわき平@10/21-10/23,弥彦,弥彦Ｆ２@09/24/5R;弥彦Ｆ２@09/25/6R;弥彦Ｆ２@09/26/6R,22,0,,3.8,
013332,吉村 和之,A1,88.50,大宮@10/06-10/08;豊橋@10/15-10/17;青森@10/29-10/31,,,4,0,,,
013333,小西 誠也,A2,81.94,四日市@10/07-10/09;小松島@10/24-10/26,,,18,0,🥺,5.0,
013345,中村 美千隆,A2,81.38,玉野@10/13-10/15;大垣@10/22-10/24;弥彦@10/30-11/01,,,23,0,🥺,5.6,
013348,内藤 敦,A2,82.50,久留米@10/01-10/03;平塚@10/08-10/10;岐阜@10/28-10/30,別府,別府Ｆ２@09/24/7R;別府Ｆ２@09/25/7R;別府Ｆ２@09/26/5R,18,0,,4.2,
013349,三宅 旬,A2,82.61,玉野@09/27-09/29;富山@10/10-10/12;武雄@10/27-10/29,,,18,0,,4.0,
013352,吉永 和生,A1,84.95,広島@10/18-10/20;岐阜@10/28-10/30,,,23,0,,4.0,
013353,吉永 好宏,A1,85.14,小松島@10/03-10/05;小田原@10/26-10/28,,,18,0,,3.4,
013354,國村 洋,A1,86.44,玉野@09/27-09/29;奈良@10/09-10/11;佐世保@10/18-10/20;大垣@10/27-10/29,,,9,0,,4.4,
013358,行成 大祐,A2,80.36,高知@10/17-10/19,,,11,0,,,
013359,吉田 彰久,A3,72.47,松戸@10/03-10/05;青森@10/14-10/16;前橋@10/21-10/23,奈良,奈良Ｆ２@09/24/6R;奈良Ｆ２@09/25/1R;奈良Ｆ２@09/26/6R,21,1,,3.4,
013363,宇根 秀俊,A2,84.09,久留米@10/01-10/03;大垣@10/27-10/29,,,22,0,,4.4,
013366,加藤 昌平,A3,74.08,奈良@10/09-10/11;前橋@10/21-10/23;名古屋@10/30-11/01,川崎,川崎Ｆ２@09/24/3R;川崎Ｆ２@09/25/3R;川崎Ｆ２@09/26/1R,23,0,,4.0,
013370,三槻 智清,A2,82.91,別府@10/14-10/16;四日市@10/21-10/23,,,12,0,🥺,4.6,
013371,足達 重満,A2,81.80,玉野@09/27-09/29;松山@10/04-10/06;広島@10/18-10/20;岐阜@10/28-10/30,,,15,0,🥺,5.0,
013374,川野 正芳,A2,84.77,武雄@09/27-09/29;防府@10/04-10/06;名古屋@10/24-10/26,,,15,0,,3.2,
013375,五反田 豊和,A3,71.16,平塚@10/03-10/05;四日市@10/16-10/18;武雄@10/27-10/29,奈良,奈良Ｆ２@09/24/1R;奈良Ｆ２@09/25/5R;奈良Ｆ２@09/26/4R,24,0,,3.4,
013378,小田桐 義継,A3,71.04,川崎@10/09-10/11;和歌山@10/26-10/28,弥彦,弥彦Ｆ２@09/24/5R;弥彦Ｆ２@09/25/1R;弥彦Ｆ２@09/26/2R,21,0,,3.8,
013382,成田 直喜,A1,88.23,武雄@09/27-09/29;大垣@10/06-10/08;青森@10/24-10/26,,,21,0,,3.8,
013384,金子 兼久,A2,81.58,川崎@10/01-10/03;青森@10/24-10/26,,,24,0,,4.2,
013385,鎌田 聡,A2,80.21,青森@09/30-10/02;四日市@10/07-10/09;川崎@10/24-10/26,,,14,0,,4.4,
013398,関 敬,A3,71.36,奈良@09/30-10/02;大宮@10/12-10/14,,,19,0,🥺,4.6,
013399,塚本 勝士,A2,80.09,いわき平@09/27-09/29;松山@10/04-10/06;武雄@10/17-10/19;青森@10/24-10/26,,,21,0,🥺,5.4,
013400,稲村 好将,A1,85.80,前橋@10/13-10/15;松阪@10/21-10/23,,,10,0,,3.2,
013402,沼川 夢久,A3,70.35,前橋@09/30-10/02;静岡@10/07-10/09,,,17,1,🥺,4.8,
013405,宮下 貴之,A1,82.06,前橋@10/06-10/08;川崎@10/20-10/22,,,15,0,🥺,5.6,
013408,川村 昭弘,A3,76.76,青森@10/14-10/16;いわき平@10/21-10/23,,,21,0,🚀,2.8,
013413,鶴岡 與之,A3,74.26,川崎@10/09-10/11;大宮@10/22-10/24,弥彦,弥彦Ｆ２@09/24/3R;弥彦Ｆ２@09/25/6R;弥彦Ｆ２@09/26/7R,15,0,🚀,2.6,
013415,山崎 明寛,A3,68.09,取手@10/19-10/21;名古屋@10/30-11/01,奈良,奈良Ｆ２@09/24/2R,11,1,🥺,5.2,
013416,飯尾 主税,A1,84.76,いわき平@09/27-09/29;武雄@10/17-10/19;宇都宮@10/30-11/01,,,21,0,,4.0,
013417,梅原 大治,A2,83.55,大垣@10/06-10/08;前橋@10/13-10/15,,,18,0,,4.2,
013421,富澤 洋祐,A3,71.44,いわき平@10/04-10/06;川崎@10/20-10/22;武雄@10/27-10/29,弥彦,弥彦Ｆ２@09/24/4R;弥彦Ｆ２@09/25/2R;弥彦Ｆ２@09/26/3R,18,0,,3.6,
013423,増田 利明,A1,84.20,武雄@10/03-10/05;青森@10/24-10/26,,,24,0,🥺,4.6,
013426,本村 隆文,A2,84.04,平塚@10/08-10/10;名古屋@10/24-10/26,,,24,0,,3.8,
013434,石黒 健,A2,83.00,小松島@10/03-10/05;豊橋@10/15-10/17,熊本,熊本Ｆ２@09/24/6R;熊本Ｆ２@09/25/3R;熊本Ｆ２@09/26/1R,18,0,🥺,6.2,
013435,中石 昌芳,A1,89.33,佐世保@09/30-10/02;四日市@10/07-10/09;名古屋@10/24-10/26,,,21,0,,3.2,
013439,青井 賢治,A1,93.58,平塚@09/28-09/30;四日市@10/07-10/09;奈良@10/14-10/16;別府@10/28-10/30,,,12,0,,3.2,
013445,中村 良二,A1,92.25,武雄@09/27-09/29;別府@10/14-10/16;四日市@10/21-10/23,,,12,0,🚀,2.8,
013446,丸林 一孝,A3,69.52,奈良@09/30-10/02;四日市@10/16-10/18;久留米@10/27-10/29,,,23,1,,4.0,
013447,坂本 晃輝,A1,88.04,防府@10/04-10/06;奈良@10/14-10/16,,,21,0,,3.6,
013451,松本 大地,A3,76.25,前橋@09/30-10/02;奈良@10/09-10/11;名古屋@10/24-10/26,,,24,0,🚀,2.4,
013452,齊藤 紳一朗,A3,69.21,高知@10/07-10/09;防府@10/23-10/25,,,14,0,,,
013453,阿部 宏之,A2,79.44,広島@09/28-09/30;大垣@10/06-10/08;静岡@10/15-10/17,,,18,0,,4.2,
013454,関戸 努,A3,66.26,大宮@10/12-10/14;武雄@10/27-10/29,,,15,0,,,
013456,小林 和彦,A3,74.28,高知@10/07-10/09;前橋@10/13-10/15;川崎@10/20-10/22,,,21,0,,3.8,
013461,市川 健太,A2,,,,,0,0,,,
013465,春日 勇人,A1,86.91,大宮@10/01-10/03;武雄@10/17-10/19,,,24,0,🚀,2.6,
013468,勝俣 亮,A2,79.50,大宮@10/06-10/08;静岡@10/15-10/17,岸和,岸和Ｆ１@09/26/1R,24,0,🥺,6.2,
013469,野村 純宏,A2,82.57,青森@09/30-10/02;小倉@10/11-10/13,,,19,1,,4.0,
013470,畠山 裕行,A3,68.63,平塚@09/28-09/30;高知@10/07-10/09;取手@10/19-10/21,,,19,0,,3.8,
013471,松坂 英司,A1,87.75,いわき平@10/04-10/06;玉野@10/13-10/15,,,24,0,🚀,2.8,
013473,大塚 英伸,A1,89.00,武雄@10/03-10/05;前橋@10/13-10/15;小松島@10/24-10/26,,,21,0,,3.2,
013477,宮司 周郎,A1,87.85,防府@10/04-10/06;取手@10/19-10/21;別府@10/28-10/30,,,21,0,,3.8,
013479,田中 秀治,A2,84.88,佐世保@09/30-10/02;青森@10/29-10/31,,,18,0,,4.4,
013480,林 洋二,A3,71.58,奈良@09/30-10/02;岐阜@10/10-10/12,,,24,0,,3.6,
013482,松崎 貴久,A2,86.75,静岡@10/07-10/09;名古屋@10/24-10/26,,,21,0,🚀,2.4,
013483,宮越 孝治,A1,89.42,岐阜@10/10-10/12;富山@10/17-10/19,別府,別府Ｆ２@09/24/11R;別府Ｆ２@09/25/10R;別府Ｆ２@09/26/11R,21,0,,4.4,
013484,表 大暁,A2,83.26,大宮@10/01-10/03;佐世保@10/18-10/20;大垣@10/27-10/29,,,19,0,,4.0,
013485,善利 裕生,A2,83.66,別府@10/14-10/16;小田原@10/26-10/28,,,21,0,🥺,5.2,
013489,藤井 孝則,A3,72.19,いわき平@10/04-10/06;大宮@10/12-10/14;名古屋@10/30-11/01,,,21,0,,4.4,
013491,近藤 範昌,A1,85.76,防府@09/29-10/01;四日市@10/16-10/18;久留米@10/27-10/29,,,21,0,🥺,4.6,
013492,坂本 智哉,A3,68.60,奈良@10/09-10/11;久留米@10/27-10/29,別府,別府Ｆ２@09/24/3R;別府Ｆ２@09/25/1R,5,0,🥺,4.8,
013493,立花 成泰,A1,84.00,広島@09/28-09/30;奈良@10/14-10/16;別府@10/28-10/30,,,21,0,🥺,4.8,
013494,土井 勲,A2,81.55,川崎@10/01-10/03;佐世保@10/18-10/20,,,27,0,,4.2,
013505,住村 実,A3,68.66,久留米@10/01-10/03;武雄@10/09-10/11;前橋@10/21-10/23,川崎,川崎Ｆ２@09/24/2R;川崎Ｆ２@09/25/2R,21,0,🥺,4.8,
013506,田村 浩章,A2,80.63,平塚@09/28-09/30;奈良@10/14-10/16;小松島@10/24-10/26,,,22,0,🥺,4.6,
013507,吉岡 篤志,A1,85.27,大宮@10/01-10/03;熊本@10/12-10/14;大垣@10/27-10/29,別府,別府Ｆ２@09/24/10R;別府Ｆ２@09/25/8R;別府Ｆ２@09/26/6R,18,0,,3.4,
013508,曽我部 匡史,A3,68.75,奈良@09/30-10/02;青森@10/19-10/21;名古屋@10/30-11/01,,,12,0,,4.4,
013512,長野 和弘,A2,81.90,熊本@10/12-10/14;名古屋@10/24-10/26,,,21,0,,4.4,
013513,南 和夫,A3,65.29,防府@10/23-10/25;松戸@10/30-11/01,弥彦,弥彦Ｆ２@09/24/4R;弥彦Ｆ２@09/25/7R;弥彦Ｆ２@09/26/4R,24,0,🥺,5.6,
013521,中野 良,A3,72.54,静岡@10/07-10/09;いわき平@10/21-10/23;宇都宮@10/30-11/01,,,24,1,🚀,2.4,
013525,亀井 道佳,A3,67.85,大垣@10/06-10/08;防府@10/23-10/25;松戸@10/30-11/01,川崎,川崎Ｆ２@09/24/5R;川崎Ｆ２@09/25/3R;川崎Ｆ２@09/26/1R,20,0,,4.2,
013526,三澤 勝成,A3,72.14,松戸@10/03-10/05;前橋@10/21-10/23;名古屋@10/30-11/01,,,21,0,🥺,4.8,
013531,伊藤 司,A3,64.72,いわき平@10/04-10/06;防府@10/23-10/25,奈良,奈良Ｆ２@09/24/4R;奈良Ｆ２@09/25/1R;奈良Ｆ２@09/26/3R,25,0,🥺,6.0,
013535,平沼 由充,A1,87.91,広島@09/28-09/30;静岡@10/15-10/17;大垣@10/22-10/24,,,12,0,🚀,3.0,
013538,小林 圭介,A1,94.33,いわき平@09/27-09/29;前橋@10/06-10/08;奈良@10/23-10/25,,,3,0,🚀,2.4,
013541,高森 圭介,A3,68.28,大垣@10/06-10/08;富山@10/17-10/19;名古屋@10/30-11/01,,,21,0,🥺,5.0,
013543,内海 雅夫,A3,71.31,前橋@09/30-10/02;青森@10/14-10/16;和歌山@10/26-10/28,,,19,0,,3.2,
013546,田村 真広,A1,87.00,いわき平@10/12-10/14;松阪@10/21-10/23,,,16,0,,3.2,
013547,土屋 宏,A2,83.79,大垣@10/06-10/08;前橋@10/13-10/15;松阪@10/21-10/23,,,24,0,🥺,4.8,
