reg_no,name,grade,score,entries,racing_now,retired
013047,田中 俊充,A1,88.33,四日市@08/17-08/19;岸和田@08/27-08/29;立川@09/03-09/05;富山@09/10-09/12,,
013049,南 大輔,A3,72.44,伊東@08/27-08/29;豊橋@09/11-09/13;大宮@09/21-09/23,西武,
013054,石丸 寛之,A1,89.44,玉野@08/20-08/22;川崎@09/10-09/12;別府@09/24-09/26,岐阜,
013056,山本 貴章,A2,80.44,高知@08/18-08/20;立川@09/03-09/05;久留米@09/17-09/19,,
013058,富 弥昭,A1,89.66,佐世保@08/18-08/20;小松島@08/27-08/29;高知@09/20-09/22;防府@09/29-10/01,,
013061,小磯 知也,A3,69.58,玉野@08/20-08/22;伊東@08/27-08/29;武雄@09/09-09/11;松山@09/19-09/21,,
013062,藤原 義浩,A3,66.33,熊本@08/24-08/26;久留米@09/05-09/07;松山@09/12-09/14,,
013063,赤松 秀展,A3,72.66,豊橋@08/18-08/20;松阪@08/25-08/27;弥彦@09/02-09/04;武雄@09/16-09/18,,
013068,城戸崎 隆史,A2,80.50,富山@08/20-08/22;玉野@09/02-09/04;静岡@09/18-09/20,,
013069,白川 有司,A2,80.58,玉野@09/02-09/04;伊東@09/23-09/25,武雄,
013075,平 総一,A2,82.80,川崎@08/19-08/21;久留米@09/05-09/07;熊本@09/24-09/26,,
013080,阿部 利光,A3,69.66,立川@08/17-08/19;青森@08/24-08/26;弥彦@09/02-09/04;富山@09/10-09/12;川崎@09/17-09/19,,
013082,小泉 俊也,A3,68.00,松阪@09/05-09/07;岸和田@09/14-09/16;大宮@09/21-09/23,,
013086,坂本 毅,A2,78.25,武雄@08/21-08/23;和歌山@08/30-09/01;玉野@09/08-09/10;いわき平@09/15-09/17,,
013099,大橋 直人,A2,82.77,大垣@08/21-08/23;松戸@09/01-09/03;玉野@09/08-09/10,青森,
013105,松本 一成,A3,67.20,伊東@08/16-08/18;松戸@09/01-09/03;松山@09/12-09/14,,
013106,赤井 学,,,,,
013109,志村 正洋,A3,70.14,豊橋@08/18-08/20;いわき平@08/30-09/01;武雄@09/09-09/11;立川@09/16-09/18,,
013110,法月 成祐,A1,86.55,弥彦@08/18-08/20;川崎@08/30-09/01;玉野@09/08-09/10;いわき平@09/15-09/17,,
013112,佐藤 明,A2,81.00,四日市@08/17-08/19;宇都宮@08/31-09/02;玉野@09/08-09/10;青森@09/26-09/28,,
013117,鳥越 靖弘,A1,87.08,松山@08/21-08/23;四日市@08/29-08/31;大宮@09/13-09/15;高知@09/20-09/22,,
013119,松尾 淳,A2,79.55,防府@09/04-09/06;前橋@09/11-09/13;静岡@09/18-09/20,,
013120,宮越 大,A1,,,,
013121,山田 晃久,A1,82.25,防府@08/23-08/25;富山@09/03-09/05;佐世保@09/20-09/22,,
013127,北浦 弘幹,A2,77.33,四日市@08/17-08/19;松阪@09/05-09/07;岸和田@09/14-09/16;大垣@09/22-09/24,,
013128,梶原 秀庸,A3,70.33,熊本@08/24-08/26;松戸@09/01-09/03;松山@09/12-09/14;奈良@09/24-09/26,,
013129,原田 隆,A2,,,,
013131,藤野 一良,A3,77.16,松山@08/21-08/23;松阪@09/05-09/07;小松島@09/17-09/19;弥彦@09/24-09/26,,
013142,黒田 大介,A2,79.66,玉野@08/20-08/22;松山@08/31-09/02;大垣@09/07-09/09,岐阜,
013143,鳥生 知八,A2,,武雄@09/03-09/05;岸和田@09/26-09/28,,
013145,瓦田 勝也,A3,70.33,立川@08/22-08/24;いわき平@08/30-09/01;武雄@09/16-09/18;弥彦@09/24-09/26,,
013146,八谷 誠賢,A1,92.25,高知@08/18-08/20;岐阜@08/24-08/26;青森@09/14-09/16;熊本@09/24-09/26,,
013147,米嶋 賢二,A2,78.87,奈良@08/20-08/22;松山@08/31-09/02;玉野@09/08-09/10;伊東@09/23-09/25,武雄,
013155,四元 慎也,A2,83.66,玉野@08/26-08/28;京王閣@09/08-09/10;小松島@09/23-09/25,岐阜,
013161,齋藤 和也,A3,68.07,豊橋@08/18-08/20;宇都宮@08/24-08/26;弥彦@09/07-09/09;岸和田@09/14-09/16,,
013171,岩橋 則明,A2,80.88,いわき平@09/15-09/17;平塚@09/28-09/30,,
013172,金子 周一郎,A2,80.66,弥彦@08/18-08/20;小松島@08/27-08/29;岐阜@09/13-09/15;いわき平@09/27-09/29,,
013175,峠 祐介,A2,76.77,岸和田@08/27-08/29;武雄@09/03-09/05;川崎@09/10-09/12,奈良,
013176,早川 成矢,A3,71.91,伊東@08/27-08/29;松阪@09/05-09/07;川崎@09/17-09/19,,
013179,飯島 淳,A2,80.16,高知@08/25-08/27;前橋@09/11-09/13;静岡@09/18-09/20,,
013183,坂木田 雄介,A2,82.38,前橋@08/15-08/17;小倉@08/28-08/30;大宮@09/13-09/15;立川@09/22-09/24,,
013184,相樂 修,A3,67.25,京王閣@09/08-09/10;いわき平@09/15-09/17;平塚@09/28-09/30,,
013186,永山 英司,A3,,,,
013188,山田 幸司,A1,88.83,高知@08/18-08/20;和歌山@08/30-09/01;西武園@09/06-09/08;青森@09/26-09/28,,
013192,平田 徹,A2,82.91,佐世保@08/18-08/20;松戸@09/01-09/03;四日市@09/09-09/11,,
013196,竹田 和幸,A1,83.00,前橋@08/15-08/17;岐阜@08/24-08/26;松阪@08/31-09/02;久留米@09/17-09/19,,
013197,鈴木 幸紀,A1,86.83,高知@08/18-08/20;宇都宮@08/31-09/02;岸和田@09/14-09/16,,
013199,北野 武史,A1,94.22,防府@08/23-08/25;松阪@09/05-09/07;青森@09/21-09/23,岐阜,
013201,北川 紋部,A2,78.75,奈良@08/20-08/22;防府@09/04-09/06;豊橋@09/11-09/13,,
013206,岡崎 和久,A3,73.11,松山@08/21-08/23;静岡@08/30-09/01;西武園@09/06-09/08;奈良@09/24-09/26,,
013207,葉狩 伸泰,A2,,川崎@08/19-08/21;前橋@09/11-09/13;松山@09/19-09/21,岐阜,
013209,奥谷 広巳,A2,87.55,西武園@08/21-08/23;武雄@09/03-09/05;青森@09/21-09/23,,
013210,川本 恵二,A3,70.16,宇都宮@08/24-08/26;西武園@08/31-09/02;岸和田@09/14-09/16;大垣@09/22-09/24,,
013212,岡田 浩太,A3,68.28,立川@08/22-08/24;弥彦@09/02-09/04;別府@09/24-09/26,,
013214,水本 博行,A3,78.00,松阪@08/25-08/27;伊東@09/02-09/04;奈良@09/24-09/26,,
013216,古城 英之,A3,71.28,松山@08/21-08/23;いわき平@08/30-09/01;京王閣@09/08-09/10;弥彦@09/24-09/26,,
013217,佐々木 英之,A3,65.75,松山@08/21-08/23;静岡@08/30-09/01;小松島@09/17-09/19;別府@09/24-09/26,,
013219,宮本 佳樹,A2,78.16,奈良@08/26-08/28;防府@09/15-09/17;岸和田@09/26-09/28,,
013232,柳 充,A3,68.63,伊東@08/16-08/18;立川@08/22-08/24;弥彦@09/02-09/04;武雄@09/16-09/18,,
013233,小松 剛之,A2,82.77,立川@08/17-08/19;高知@08/25-08/27;富山@09/10-09/12;青森@09/26-09/28,,
013235,榊枝 輝文,A3,71.00,立川@08/17-08/19;宇都宮@08/24-08/26;西武園@08/31-09/02;大垣@09/13-09/15,,
013242,尾崎 剛,A1,93.44,岐阜@08/30-09/01;京王閣@09/08-09/10;大垣@09/22-09/24,,
013244,小林 高志,A3,66.25,青森@08/24-08/26;静岡@08/30-09/01;西武園@09/06-09/08;弥彦@09/24-09/26,,
013246,山崎 充央,A2,80.50,玉野@08/26-08/28;松阪@09/05-09/07;立川@09/22-09/24,,
013253,柴田 功一郎,A2,79.71,伊東@08/16-08/18;岐阜@08/30-09/01;玉野@09/08-09/10;川崎@09/17-09/19,,
013255,安坂 洋一,A3,70.66,宇都宮@08/24-08/26;弥彦@09/02-09/04;広島@09/20-09/22,,
013259,望月 紀男,A2,88.88,弥彦@08/18-08/20;四日市@08/29-08/31;前橋@09/11-09/13;大垣@09/22-09/24,,
013261,柴田 昌樹,A3,70.08,豊橋@08/18-08/20;松阪@08/25-08/27;弥彦@09/02-09/04;松山@09/12-09/14,,
013263,田中 雅史,A2,84.83,大垣@08/17-08/19;松山@08/31-09/02;いわき平@09/07-09/09;岸和田@09/14-09/16,,
013264,山中 貴雄,A3,70.91,別府@08/16-08/18;松阪@08/25-08/27;伊東@09/02-09/04;大宮@09/21-09/23,,
013266,伊藤 嘉浩,A3,70.66,玉野@08/20-08/22;松阪@09/05-09/07;豊橋@09/11-09/13;松山@09/19-09/21,西武,
013267,鷲見 逸喜,A1,88.41,玉野@08/20-08/22;松阪@08/31-09/02;岐阜@09/13-09/15;佐世保@09/20-09/22,,
013270,中川 貴史,A1,82.83,大垣@08/21-08/23;富山@09/03-09/05;高知@09/20-09/22,,
013271,鮒田 博文,A2,83.91,大垣@08/21-08/23;川崎@08/30-09/01;富山@09/10-09/12;高知@09/20-09/22,,
013272,古田 義明,A3,66.64,豊橋@08/18-08/20;久留米@09/05-09/07;岸和田@09/14-09/16,,
013273,西 徹,A2,82.22,和歌山@08/30-09/01;西武園@09/06-09/08;防府@09/15-09/17,,
013275,渡辺 航平,A1,85.77,富山@08/20-08/22;和歌山@08/30-09/01;伊東@09/07-09/09;川崎@09/17-09/19,,
013283,小林 卓人,A1,88.75,静岡@08/15-08/17;前橋@09/11-09/13;伊東@09/23-09/25,,
013285,吉川 悟,A2,81.55,前橋@08/15-08/17;岐阜@08/24-08/26;弥彦@09/19-09/21;岸和田@09/26-09/28,,
013294,木村 勉,A2,82.77,防府@08/23-08/25;佐世保@09/20-09/22;広島@09/28-09/30,,
013296,林 明宏,A1,85.55,高知@09/09-09/11;岸和田@09/26-09/28,,
013298,井手 健,A2,77.00,玉野@08/20-08/22;高知@09/20-09/22;武雄@09/27-09/29,岐阜,
013303,須々田 大昇,A3,69.33,別府@08/16-08/18;青森@08/24-08/26;川崎@09/10-09/12;小松島@09/17-09/19;奈良@09/24-09/26,,
013307,浦川 尊明,A1,91.00,高知@09/09-09/11;青森@09/26-09/28,奈良,
013308,木村 貴宏,A1,90.33,前橋@08/15-08/17;防府@08/23-08/25;四日市@09/09-09/11;静岡@09/18-09/20;青森@09/26-09/28,,
013311,根本 雄紀,A1,87.88,静岡@08/15-08/17;伊東@09/07-09/09;別府@09/16-09/18,,
013314,鈴木 宏章,A3,73.11,立川@08/22-08/24;西武園@08/31-09/02;豊橋@09/11-09/13,,
013320,村上 順規,A3,66.00,青森@08/24-08/26;伊東@09/02-09/04;岸和田@09/14-09/16;弥彦@09/24-09/26,,
013324,市川 博章,A3,68.91,豊橋@08/18-08/20;西武園@09/06-09/08;平塚@09/28-09/30,,
013327,高橋 健太,A3,69.20,熊本@08/24-08/26;伊東@09/02-09/04;武雄@09/16-09/18,,
013330,舘 泰守,A1,89.57,前橋@08/15-08/17;松阪@08/25-08/27;松戸@09/01-09/03;高知@09/20-09/22,,
013331,橋本 大祐,A3,70.41,松阪@08/25-08/27;松戸@09/01-09/03;富山@09/10-09/12;弥彦@09/24-09/26,,
013332,吉村 和之,A1,88.50,奈良@08/26-08/28;前橋@09/11-09/13;大垣@09/22-09/24,,
013333,小西 誠也,A2,82.77,静岡@08/15-08/17;西武園@08/31-09/02;富山@09/10-09/12,,
013345,中村 美千隆,A2,82.07,防府@08/23-08/25;松阪@08/31-09/02;久留米@09/17-09/19,,
013348,内藤 敦,A2,80.83,松阪@08/25-08/27;川崎@09/10-09/12;別府@09/24-09/26,,
013349,三宅 旬,A2,79.83,西武園@08/21-08/23;立川@09/03-09/05;大宮@09/13-09/15;玉野@09/27-09/29,,
013352,吉永 和生,A1,85.18,武雄@08/21-08/23;佐世保@09/12-09/14;防府@09/29-10/01,岐阜,
013353,吉永 好宏,A1,85.00,小松島@08/27-08/29;防府@09/04-09/06;岐阜@09/13-09/15,,
013354,國村 洋,A1,89.33,高知@08/25-08/27;防府@09/04-09/06;玉野@09/27-09/29,,
013358,行成 大祐,A2,80.36,四日市@08/17-08/19;いわき平@09/07-09/09;武雄@09/27-09/29,,
013359,吉田 彰久,A3,74.53,松山@08/21-08/23;静岡@08/30-09/01;松山@09/12-09/14;奈良@09/24-09/26,,
013363,宇根 秀俊,A2,85.33,玉野@08/26-08/28;豊橋@09/04-09/06;別府@09/16-09/18,,
013366,加藤 昌平,A3,74.60,青森@08/24-08/26;弥彦@09/02-09/04;小松島@09/17-09/19;川崎@09/24-09/26,,
013370,三槻 智清,A2,86.00,小倉@08/28-08/30;佐世保@09/20-09/22,,
013371,足達 重満,A2,81.66,佐世保@08/18-08/20;奈良@08/26-08/28;いわき平@09/07-09/09;玉野@09/27-09/29,,
013374,川野 正芳,A2,84.08,佐世保@08/18-08/20;玉野@09/02-09/04;武雄@09/27-09/29,,
013375,五反田 豊和,A3,71.91,立川@08/22-08/24;久留米@09/05-09/07;大垣@09/13-09/15;奈良@09/24-09/26,,
013378,小田桐 義継,A3,70.16,立川@08/17-08/19;西武園@08/31-09/02;武雄@09/16-09/18;弥彦@09/24-09/26,,
013382,成田 直喜,A1,90.08,武雄@08/21-08/23;松阪@09/05-09/07;川崎@09/17-09/19,,
013384,金子 兼久,A2,82.22,西武園@08/21-08/23;伊東@09/07-09/09;岸和田@09/14-09/16;大垣@09/22-09/24,京王,
013385,鎌田 聡,A2,80.00,玉野@08/26-08/28;松阪@09/05-09/07;伊東@09/23-09/25,,
013398,関 敬,A3,72.40,静岡@08/30-09/01;弥彦@09/07-09/09;川崎@09/17-09/19,,
013399,塚本 勝士,A2,78.77,川崎@08/19-08/21;四日市@09/09-09/11;静岡@09/18-09/20;いわき平@09/27-09/29,青森,
013400,稲村 好将,A1,82.25,玉野@09/02-09/04;立川@09/22-09/24,,
013402,沼川 夢久,A3,67.28,伊東@08/27-08/29;松阪@09/05-09/07;川崎@09/17-09/19,西武,
013405,宮下 貴之,A1,87.33,弥彦@08/18-08/20;小倉@08/28-08/30;豊橋@09/04-09/06;青森@09/26-09/28,,
013408,川村 昭弘,A3,77.50,宇都宮@08/24-08/26;弥彦@09/02-09/04;松山@09/12-09/14;大宮@09/21-09/23,,
013413,鶴岡 與之,A3,71.33,和歌山@08/23-08/25;松戸@09/01-09/03;大垣@09/13-09/15;弥彦@09/24-09/26,,
013415,山崎 明寛,A3,67.50,立川@08/22-08/24;松戸@09/01-09/03;川崎@09/17-09/19;奈良@09/24-09/26,,
013416,飯尾 主税,A1,84.88,和歌山@08/23-08/25;松阪@08/31-09/02;川崎@09/10-09/12;いわき平@09/27-09/29,青森,
013417,梅原 大治,A2,83.41,松阪@08/31-09/02;川崎@09/17-09/19,,
013421,富澤 洋祐,A3,72.44,青森@08/24-08/26;西武園@08/31-09/02;松山@09/12-09/14,,
013423,増田 利明,A1,84.41,富山@08/20-08/22;小倉@08/28-08/30;松阪@09/05-09/07;大宮@09/13-09/15,,
013426,本村 隆文,A2,82.33,富山@08/20-08/22;豊橋@09/04-09/06;岐阜@09/13-09/15;佐世保@09/20-09/22,京王,
013434,石黒 健,A2,86.16,西武園@08/21-08/23;玉野@09/02-09/04;四日市@09/09-09/11;熊本@09/24-09/26,武雄,
013435,中石 昌芳,A1,89.16,松山@08/21-08/23;大垣@09/07-09/09;防府@09/15-09/17,,
013439,青井 賢治,A1,93.77,奈良@08/26-08/28;防府@09/15-09/17;平塚@09/28-09/30,,
013445,中村 良二,A1,92.00,玉野@08/20-08/22;大垣@09/07-09/09;久留米@09/17-09/19;武雄@09/27-09/29,,
013446,丸林 一孝,A3,68.13,熊本@08/24-08/26;伊東@09/02-09/04;いわき平@09/15-09/17,,
013447,坂本 晃輝,A1,89.75,武雄@08/21-08/23;高知@09/09-09/11;静岡@09/18-09/20,,
013451,松本 大地,A3,76.66,立川@08/22-08/24;静岡@08/30-09/01;川崎@09/10-09/12;松山@09/19-09/21,,
013452,齊藤 紳一朗,A3,69.25,四日市@08/29-08/31;立川@09/16-09/18;川崎@09/24-09/26,,
013453,阿部 宏之,A2,79.00,松戸@09/01-09/03;四日市@09/09-09/11;広島@09/28-09/30,,
013454,関戸 努,A3,65.11,立川@08/17-08/19;熊本@08/24-08/26,,
013456,小林 和彦,A3,74.66,伊東@08/27-08/29;豊橋@09/11-09/13;大宮@09/21-09/23,西武,
013461,市川 健太,A2,,,,
013465,春日 勇人,A1,85.83,武雄@08/21-08/23;弥彦@09/07-09/09;大垣@09/22-09/24,京王,
013468,勝俣 亮,A2,79.41,大垣@08/21-08/23;川崎@08/30-09/01;いわき平@09/07-09/09;岸和田@09/26-09/28,,
013469,野村 純宏,A2,81.30,弥彦@08/18-08/20;松山@08/31-09/02;川崎@09/10-09/12,,
013470,畠山 裕行,A3,68.25,いわき平@08/30-09/01;大宮@09/21-09/23;平塚@09/28-09/30,西武,
013471,松坂 英司,A1,86.83,静岡@08/15-08/17;松山@08/31-09/02;川崎@09/10-09/12,,
013473,大塚 英伸,,,,,
013477,宮司 周郎,A1,88.22,岸和田@08/27-08/29;久留米@09/05-09/07;佐世保@09/20-09/22,岐阜,
013479,田中 秀治,A2,86.83,奈良@08/20-08/22;岸和田@08/27-08/29;富山@09/10-09/12;久留米@09/17-09/19,,
013480,林 洋二,A3,72.75,熊本@08/24-08/26;伊東@09/02-09/04;松山@09/12-09/14,西武,
013482,松崎 貴久,A2,86.00,岐阜@08/30-09/01;富山@09/10-09/12;佐世保@09/20-09/22,奈良,
013483,宮越 孝治,A1,89.50,岐阜@08/30-09/01;いわき平@09/07-09/09;久留米@09/17-09/19;別府@09/24-09/26,,
013484,表 大暁,A2,81.40,四日市@08/17-08/19;富山@09/03-09/05;豊橋@09/11-09/13,,
013485,善利 裕生,A2,86.77,玉野@08/20-08/22;岸和田@08/27-08/29;いわき平@09/07-09/09;佐世保@09/20-09/22,,
013489,藤井 孝則,A3,70.44,玉野@08/20-08/22;四日市@08/29-08/31;久留米@09/05-09/07;松山@09/19-09/21,,
013491,近藤 範昌,A1,85.73,豊橋@09/04-09/06;高知@09/20-09/22,,
013492,坂本 智哉,A3,,玉野@08/20-08/22;大垣@09/13-09/15;別府@09/24-09/26,,
013493,立花 成泰,A1,85.55,玉野@08/20-08/22;小倉@08/28-08/30;松山@09/19-09/21;広島@09/28-09/30,,
013494,土井 勲,A2,80.21,佐世保@08/18-08/20;大垣@09/07-09/09;青森@09/14-09/16;小松島@09/23-09/25,,
013505,住村 実,A3,69.61,立川@08/22-08/24;弥彦@09/02-09/04;小松島@09/17-09/19;川崎@09/24-09/26,,
013506,田村 浩章,A2,79.60,武雄@08/21-08/23;玉野@09/02-09/04;青森@09/21-09/23;平塚@09/28-09/30,,
013507,吉岡 篤志,A1,85.58,防府@08/23-08/25;いわき平@09/15-09/17;別府@09/24-09/26,,
013508,曽我部 匡史,A3,74.00,宇都宮@08/24-08/26;伊東@09/02-09/04;川崎@09/10-09/12,,
013512,長野 和弘,A2,82.66,松山@08/21-08/23;京王閣@09/08-09/10;高知@09/20-09/22,,
013513,南 和夫,A3,65.53,松阪@08/25-08/27;久留米@09/05-09/07;いわき平@09/15-09/17;弥彦@09/24-09/26,,
013521,中野 良,A3,73.00,伊東@08/16-08/18;青森@08/24-08/26;松戸@09/01-09/03;川崎@09/10-09/12,,
013525,亀井 道佳,A3,68.37,いわき平@08/30-09/01;弥彦@09/07-09/09;小松島@09/17-09/19,,
013526,三澤 勝成,A3,72.66,豊橋@08/18-08/20;四日市@08/29-08/31;弥彦@09/07-09/09;大垣@09/22-09/24,,
013531,伊藤 司,A3,65.40,京王閣@09/08-09/10;川崎@09/17-09/19;奈良@09/24-09/26,,
013535,平沼 由充,A1,87.77,高知@08/18-08/20;小倉@08/28-08/30;西武園@09/06-09/08;広島@09/28-09/30,,
013538,小林 圭介,A1,,富山@09/03-09/05;川崎@09/17-09/19;いわき平@09/27-09/29,,
013541,高森 圭介,A3,69.11,別府@08/16-08/18;宇都宮@08/24-08/26;伊東@09/02-09/04;立川@09/16-09/18,,
013543,内海 雅夫,A3,70.42,和歌山@08/23-08/25;いわき平@08/30-09/01;京王閣@09/08-09/10;川崎@09/17-09/19,,
013546,田村 真広,A1,86.75,弥彦@09/07-09/09;岸和田@09/14-09/16,,
013547,土屋 宏,A2,83.58,伊東@08/16-08/18;岐阜@08/30-09/01;弥彦@09/07-09/09;川崎@09/17-09/19,,
013548,手島 志誠,A2,,富山@08/20-08/22;玉野@09/02-09/04;いわき平@09/27-09/29,青森,
013549,堀 勝政,A3,73.00,いわき平@08/30-09/01;弥彦@09/07-09/09;立川@09/16-09/18;川崎@09/24-09/26,西武,
013550,安部 達也,A1,88.60,小松島@08/27-08/29;立川@09/03-09/05;岸和田@09/14-09/16,,
013551,女屋 文伸,A3,71.83,西武園@08/31-09/02;立川@09/16-09/18,,
013553,小島 雅章,A2,81.33,静岡@08/15-08/17;松阪@08/31-09/02;弥彦@09/07-09/09,,
013555,台 和紀,A1,88.66,静岡@08/15-08/17;松戸@09/01-09/03;玉野@09/08-09/10,,
013556,山信田 学,A2,81.20,佐世保@08/18-08/20;伊東@09/07-09/09;広島@09/28-09/30,,
013560,小佐野 文秀,A2,85.33,高知@09/09-09/11;別府@09/16-09/18;いわき平@09/27-09/29,奈良,
013567,吉原 友彦,A3,65.00,弥彦@09/07-09/09;川崎@09/17-09/19,,
013568,大木 雅也,A1,89.22,防府@08/23-08/25;宇都宮@08/31-09/02;四日市@09/09-09/11,奈良,
013570,加藤 寛治,A1,87.44,松山@08/21-08/23;西武園@08/31-09/02;前橋@09/11-09/13,京王,
013571,小林 信晴,A1,93.25,大垣@08/17-08/19;防府@09/04-09/06;久留米@09/17-09/19,,
013575,渡会 啓介,A2,80.11,防府@08/23-08/25;岐阜@08/30-09/01;松山@09/19-09/21;玉野@09/27-09/29,,
013576,土岐 幹多,A2,83.50,奈良@08/20-08/22;武雄@09/03-09/05;青森@09/21-09/23,,
013580,河村 章憲,A2,83.09,前橋@08/15-08/17;奈良@08/26-08/28;豊橋@09/11-09/13;高知@09/20-09/22,,
013581,薮 謙治,A2,79.00,大垣@08/21-08/23;岐阜@08/30-09/01;佐世保@09/12-09/14;岸和田@09/26-09/28,,
013582,肥後 尚己,A1,91.33,川崎@08/19-08/21;岐阜@09/13-09/15;小松島@09/23-09/25,,
013584,坂田 学,A2,78.35,前橋@08/15-08/17;和歌山@08/23-08/25;松阪@08/31-09/02;松山@09/19-09/21,,
013587,船曳 義之,A2,79.66,佐世保@08/18-08/20;松阪@08/25-08/27;玉野@09/02-09/04;四日市@09/09-09/11,,
013588,齋藤 仁,A3,68.50,奈良@08/20-08/22;伊東@08/27-08/29;京王閣@09/08-09/10;川崎@09/24-09/26,,
013589,佐竹 和也,A1,88.33,高知@08/25-08/27;武雄@09/03-09/05;広島@09/28-09/30,,
013591,山本 宏明,A3,,弥彦@09/02-09/04;松山@09/12-09/14,,
013594,高田 真幸,A1,82.90,松山@08/21-08/23;いわき平@09/15-09/17;小松島@09/23-09/25,,
013595,別所 英幸,A2,77.83,川崎@08/19-08/21;防府@09/15-09/17;別府@09/24-09/26,武雄,
013601,工藤 政志,A2,84.11,伊東@08/16-08/18;岐阜@08/24-08/26;玉野@09/02-09/04;川崎@09/10-09/12,,
013608,鈴木 誠,A1,83.00,西武園@08/21-08/23;青森@09/21-09/23,,
013610,土屋 仁,A1,88.83,伊東@08/16-08/18;和歌山@08/30-09/01;大宮@09/13-09/15;大垣@09/22-09/24,,
013613,宗景 祐樹,A2,,,,
013615,山口 貴弘,A2,84.66,岸和田@08/27-08/29;弥彦@09/07-09/09;立川@09/16-09/18;いわき平@09/27-09/29,青森,
013616,渡邉 高志,A1,86.16,立川@08/17-08/19;岐阜@08/24-08/26;松阪@09/05-09/07;弥彦@09/19-09/21,,
013621,國廣 哲治,A2,82.22,立川@08/17-08/19;川崎@08/30-09/01;京王閣@09/08-09/10;川崎@09/17-09/19;青森@09/26-09/28,,
013629,福森 慎太郎,A2,76.55,立川@08/17-08/19;西武園@08/31-09/02;伊東@09/07-09/09;大垣@09/22-09/24,,
013632,川口 直人,A1,92.66,静岡@08/15-08/17;高知@08/25-08/27;伊東@09/07-09/09;立川@09/16-09/18,,
013635,柏木 伸介,A2,,岐阜@08/30-09/01;弥彦@09/07-09/09;別府@09/16-09/18,,
013638,村上 卓茂,A2,86.44,玉野@08/20-08/22;川崎@08/30-09/01;西武園@09/06-09/08;岸和田@09/14-09/16,岐阜,
013640,西村 豊,A1,91.88,大垣@08/21-08/23;豊橋@09/11-09/13;玉野@09/27-09/29,,
013641,竹内 一暢,A1,83.66,奈良@08/26-08/28;防府@09/04-09/06;岸和田@09/26-09/28,岐阜,
013645,川木 敬大,A1,84.83,松阪@08/25-08/27;久留米@09/05-09/07;青森@09/21-09/23,岐阜,
013646,日浅 保幸,A2,78.10,大垣@08/17-08/19;玉野@08/26-08/28;防府@09/04-09/06;静岡@09/18-09/20;岸和田@09/26-09/28,,
013647,光畑 政志,A3,71.11,松山@08/21-08/23;静岡@08/30-09/01;いわき平@09/15-09/17;弥彦@09/24-09/26,,
013650,吉本 哲郎,A1,93.00,西武園@08/21-08/23;宇都宮@08/31-09/02;久留米@09/17-09/19,武雄,
013651,井山 和裕,A3,68.00,久留米@09/05-09/07;川崎@09/24-09/26,,
013652,隅 直幸,A1,82.28,佐世保@08/18-08/20;玉野@09/02-09/04;岸和田@09/26-09/28,,
013653,森安 崇之,A1,92.88,川崎@08/19-08/21;立川@09/03-09/05;佐世保@09/12-09/14;伊東@09/23-09/25,武雄,
013654,滝山 実,A2,81.66,川崎@08/19-08/21;松山@08/31-09/02;四日市@09/09-09/11,武雄,
013659,高比良 豪,A2,79.50,高知@08/18-08/20;小倉@08/28-08/30;佐世保@09/12-09/14;熊本@09/24-09/26,,
013660,徳吉 広紀,A2,84.40,玉野@08/20-08/22;青森@09/14-09/16;別府@09/24-09/26,,
013663,中野 功史,A3,69.33,熊本@08/24-08/26;小松島@09/17-09/19;川崎@09/24-09/26,,
013667,田中 洋輔,A1,85.22,佐世保@08/18-08/20;松阪@08/25-08/27;松山@09/19-09/21;防府@09/29-10/01,,
013668,佐々木 孝司,A2,81.33,前橋@08/15-08/17;岸和田@08/27-08/29;松阪@09/05-09/07;川崎@09/17-09/19,,
013676,塚本 諭,A3,70.22,別府@08/16-08/18;青森@08/24-08/26;いわき平@09/15-09/17;川崎@09/24-09/26,,
013678,菊池 崇訓,A3,67.83,伊東@09/02-09/04;武雄@09/09-09/11,西武,
013684,吉橋 秀城,A3,65.66,別府@08/16-08/18;宇都宮@08/24-08/26;立川@09/16-09/18;弥彦@09/24-09/26,,
013690,伊藤 大理,A2,83.83,奈良@08/26-08/28;松阪@09/05-09/07;立川@09/16-09/18,,
013692,佐野 多喜男,A3,70.00,熊本@08/24-08/26;西武園@08/31-09/02;松山@09/12-09/14;広島@09/20-09/22,,
013693,藤原 憲征,A1,93.00,佐世保@08/18-08/20;川崎@09/10-09/12;熊本@09/24-09/26,,
013695,岡本 英之,A1,88.41,西武園@08/21-08/23;宇都宮@08/31-09/02;青森@09/14-09/16,,
013705,佐藤 有輝,A3,73.35,伊東@08/16-08/18;青森@08/24-08/26;岸和田@09/14-09/16;平塚@09/28-09/30,,
013710,榎本 光男,A2,,,,
013711,小林 則之,A1,91.00,岸和田@08/27-08/29;大垣@09/07-09/09;いわき平@09/15-09/17;武雄@09/27-09/29,青森,
013713,丸山 勝也,A3,67.33,別府@08/16-08/18;和歌山@08/23-08/25;川崎@09/10-09/12;小松島@09/17-09/19,,
013716,佐藤 亙,A1,88.75,小倉@08/28-08/30;岸和田@09/14-09/16;別府@09/24-09/26,,
013723,高谷 進太郎,A2,,岸和田@08/27-08/29;松阪@09/05-09/07;佐世保@09/20-09/22;玉野@09/27-09/29,,
013728,伊狩 知人,A3,70.66,豊橋@08/18-08/20;伊東@08/27-08/29;久留米@09/05-09/07;松山@09/12-09/14,,
